
mold  01/10/2025
-----
MOULDING NEW
Selected 227 records in 0.00 seconds
---
ABBBU1121            10,318
ABBBU112114           7,991
ABBBU114              3,399
ABBBU1214             6,778
ABBBU134             21,848
ABBBU2112            14,087
ABBBU234              3,895
ABBBU3412            13,909
ABBBU42                 420
ABBBU43                 172
ABBCA112              3,922
ABBCA114              4,692
ABBCA2                9,077
ABBCA34              50,939
ABBCR1                1,331
ABBCR114                959
ABBCR2                  567
ABBL45112             2,044
ABBL45114             1,579
ABBL4514                732
ABBL452               3,420
ABBL453                 401
ABBL454                 110
ABBL901             143,860
ABBL90112            55,847
ABBL90114            48,774
ABBL9014              2,790
ABBL902              21,333
ABBL903                 657
ABBL9034            120,662
ABBL904                 189
ABBL906                  22
ABBP1                 9,149
ABBP114               6,613
ABBP12              159,512
ABBP2                 9,149
ABBPS12              11,143
ABBPS14               4,667
ABBPS34              17,376
ABBPS38               9,161
ABBRL11234            1,255
ABBRL1141             3,225
ABBRL11434            1,647
ABBRL134              7,907
ABBRL21234              748
ABBRS112             60,288
ABBRS1121             8,703
ABBRS11212            1,622
ABBRS11234            2,650
ABBRS1141            21,357
ABBRS2122               704
ABBRS234                512
ABBRS65                 117
ABBRT1121121          12,410
ABBRT112112114          1,814
ABBRT11211212          6,318
ABBRT11211234          1,958
ABBRT112114114          1,147
ABBRT11234112            529
ABBRT11411            1,544
ABBRT1141141          29,695
ABBRT11411412          2,664
ABBRT1143434             315
ABBRT211212             139
ABBRT2122212             151
ABBRT221             14,327
ABBRT22114            4,217
ABBRT22212               58
ABBRT2234             4,202
ABBRT33112               86
ABBRT33114               38
ABBRT442                121
ABBS112               8,703
ABBS114              16,096
ABBS2                11,274
ABBSL45114              495
ABBSL90112              678
ABBSL90114            2,550
ABBSL902              1,602
ABBSL9038             1,436
ABBT112               8,004
ABBT114               3,600
ABBT14                3,210
ABBT2                11,940
ABBUA112              4,410
ABBUA12              16,637
ABBUA2                3,917
ABBUA212                503
ABBUA3                  900
ABBUA34              27,025
ABBUB1               17,780
ABBUB112              6,938
ABBUB114              4,178
ABBUB12              13,253
ABBUB2                2,762
ABBUB212                561
ABBUB3                  297
ABBUB34              15,664
ABBUB6                   24
ABBUC1                8,067
ABBUC112              5,137
ABBUC114              4,801
ABBUC12              12,727
ABBUC2                3,600
ABBUC212                561
ABBUC34              21,000
ABBUC6                   68
ABBY452                  42
BBBBU21               3,050
BBBBU2122               895
BBBL90212               503
BBBP212               2,635
BBBRS112114           4,858
BBBRS21               1,397
BBBRS2112             3,936
BBBRS2114             1,652
BBBSL9038             1,026
EABBU1121             7,900
EABBU112114           4,052
EABBU11212            1,126
EABBU134              6,050
EABBU2122             1,972
EABBU32                 328
EABLNWOB1             4,411
EABP1                14,571
EABP2                 4,459
EABRX2112             1,190
EABUA1                8,454
EABUA114              1,696
EABUA12118            8,546
EABUA1C0.2           10,183
EABUA2                5,157
EBBBMF902               240
EBBBU112              5,641
EBBBU1121             2,830
EBBBU112114           6,163
EBBBU1141             3,973
EBBBU134              3,358
EBBBU2114             1,600
EBBBU2121               880
EBBBU3212               645
EBBCR114                394
EBBHCA1               3,495
EBBHCA112             2,000
EBBHCA114             1,609
EBBHCA12              2,740
EBBHCA2               1,139
EBBL452                 181
EBBL901              32,357
EBBL90112             2,804
EBBL90114             5,907
EBBL902               3,111
EBBNI1               33,782
EBBNI112             15,210
EBBNI114             18,625
EBBNI2                6,699
EBBNI3                  760
EBBP1                18,341
EBBP114               4,667
EBBP12               11,397
EBBP2                 3,345
EBBP34               11,141
EBBP4                   188
EBBRNI112114          1,831
EBBRNI1214              967
EBBRNI1238            3,378
EBBRS2112               444
EBBRS2122                51
EBBRT1121112           2,008
EBBRX2112               387
EBBRX2122               426
EBBS112               3,016
EBBS2                 3,323
EBBSL452              2,285
EBBSL90112            5,120
EBBSL90114            3,028
EBBSL902              2,316
EBBSL90212              389
EBBSL903                404
EBBT112               5,535
EBBT114               6,077
EBBT2                 2,275
EBBUA1               40,358
EBBUA112              3,132
EBBUA114              2,894
EBBUA2                4,232
EBBUA212                530
EBBUA34              10,287
EEBUB1               15,515
EEBUB112              2,379
EEBUB114              7,447
EEBUB2                6,943
EEBUB34              13,291
EEBUC2                5,735
EEBUCF1              38,968
EEBUCF114             4,761
EEBUCF2               1,406
EEBUL38                 577
EEBUN112              1,506
EEBUN12               1,877
EEBUN2                1,886
EEBUN212                546
EEBUNF12              3,957
ENBBU3814             3,889
ENBHCA38              9,146
ENBSL9018             2,802
ENBSL9038             2,703
ENBT14                1,430
ESBBF901                311
ESBBMF90112             497
ESBHCA2               1,968
ESBNI1                6,126
ESBP212                 974
ESBPT1                  640
ESBRNI112114          1,668
ESBRNI2112            1,232
ESBRNI2114            1,110
ESBRNI2122              358
ESBRS32                  77
ESBRT1141114           1,067
ESBRX112114           1,152
ESBT2                   453
ESBUA1               28,244
ESBUA112              2,418
ESBUA114              3,076
ESBUA2                2,457
ESBUA212                545
---
MOULDING OLD
Selected 116 records in 0.00 seconds
---
ABBBU112              8,052
ABBBU1214             7,978
ABBCA1                4,000
ABBCR34                 623
ABBF1                 1,464
ABBF112                 196
ABBF114               1,599
ABBF2                 1,527
ABBF34                1,444
ABBL9012            174,568
ABBL9038              1,434
ABBL906                 582
ABBRL112             63,783
ABBRL3412             4,686
ABBRS1238             5,068
ABBRS134             14,049
ABBRS3412            28,443
ABBRS3814             1,672
ABBRS62                  39
ABBRS63                  10
ABBRT1112            20,613
ABBRT1121               984
ABBRT11212              968
ABBRT11234              599
ABBRT1134             2,790
ABBRT114134             564
ABBRT121234             675
ABBRT1341             1,168
ABBRT13412            1,185
ABBRT13434            1,094
ABBRT341212             649
ABBRT341234             881
ABBRT343412          11,215
ABBS1                51,209
ABBS12               54,496
ABBS34               38,123
ABBSL901              1,987
ABBSL9012             6,993
ABBSL9034             6,166
ABBT1                55,883
ABBT12               52,721
ABBT18                1,118
ABBT34               52,871
ABBX12                1,914
ADBL901              27,667
BBBBU238              1,093
BBBSL901              4,304
EABBMF901               951
EABBU3412            12,141
EABNI14               3,857
EABP1                   497
EABP112               7,002
EABRL112              2,896
EABRL134              6,685
EABRS112              9,652
EABRS11434            1,378
EABRT341234           1,904
EABRX134              2,163
EABSL901             24,696
EABSL9012            10,170
EBBBMF453               270
EBBBMF901               517
EBBBMF9012              775
EBBBU1214             4,186
EBBBU1238             4,553
EBBBU3412            15,352
EBBCR1                1,073
EBBCR34                 567
EBBL9034             10,705
EBBNI12              47,707
EBBNI34              45,009
EBBP114               5,523
EBBRNI112             1,881
EBBRNI1121            2,183
EBBRNI1214            1,833
EBBRNI1238            2,530
EBBRNI134             3,398
EBBRNI3412            3,542
EBBRS1238             3,685
EBBRS134              7,676
EBBRS3412             1,414
EBBRS3438               600
EBBRT1121               587
EBBRT341234             804
EBBRX3412             9,829
EBBS12                6,319
EBBS34                5,518
EBBSL901             29,140
EBBSL9012            23,543
EBBSL9034            11,329
EBBT1                 9,222
EBBT12               10,788
EBBT34                9,611
EEBUC1                4,785
EEBUC34               3,711
EEBUL1                1,322
EEBUN1                6,132
EEBUN34               4,150
EEBUNF1               9,668
EEBUNF112             1,191
EEBUNF114               896
EEBUNF2               1,402
ENBNI14               3,229
ENBS38                4,766
ESBBF901                100
ESBBMF901               773
ESBBU3412             3,099
ESBL9012              5,273
ESBNI12               8,066
ESBRT1121             1,645
ESBRX112              1,241
ESBS12                1,948
ESBSL901              3,538
ESBT34                1,575
LSSKT3-G                 37
MOLDCORBOX270                15
---
